donor_id,segment
D7907650578,Other
D2857540665,Other
D7591212560,Other
D4490634670,Legal
D7231638389,Education
D6770813938,Other
D4089526408,Other
D1864412982,Other
D7865502257,Other
D1442962102,Other
D8655467133,Other
D6352697507,Other
D1403580899,Business & Executive
D8836663426,Retired / Not Employed
D7917828745,Business & Executive
D4863048074,Other
D7761918431,Business & Executive
D2759134695,Other
D6678275736,Business & Executive
D4348017466,Retired / Not Employed
D8740828703,Retired / Not Employed
D8174288021,Other
D2140801992,Other
D7540755419,Other
D8587970410,Other
D5767947278,Other
D1609860594,Other
D1427626079,Other
D7132853527,Business & Executive
D8031931253,Other
D6871399654,Other
D8841498274,Other
D7827271783,Other
D8374251177,Business & Executive
D7368304440,Other
D8677522444,Other
D8944339700,Business & Executive
D6504566204,Business & Executive
D5356305873,Other
D8994019802,Business & Executive
D2071003404,Other
D8773418047,Business & Executive
D2869413867,Other
D2563649737,Technology
D8586762038,Retired / Not Employed
D8506858891,Other
D3902536857,Other
D9098183782,Legal
D7589006348,Other
D7900056837,Other
D1719871651,Technology
D6343013132,Business & Executive
D2909602839,Retired / Not Employed
D5658691355,Retired / Not Employed
D6015935778,Other
D7635308732,Healthcare
D6412240480,Business & Executive
D5846277339,Other
D4171219855,Other
D4122060335,Retired / Not Employed
D5615455427,Other
D5004769545,Other
D4978280605,Education
D2314068336,Business & Executive
D6299537366,Other
D2357988821,Retired / Not Employed
D7031306583,Healthcare
D3305933952,Other
D5902326925,Other
D2376987804,Retired / Not Employed
D8983325173,Real Estate
D6093430577,Retired / Not Employed
D8140522078,Retired / Not Employed
D6102213245,Legal
D7080331750,Retired / Not Employed
D7603882739,Legal
D7109333827,Retired / Not Employed
D3372144715,Other
D9127850831,Other
D4695621644,Other
D2685286806,Other
D6275716538,Education
D2307248179,Other
D4055585844,Other
D3427632315,Retired / Not Employed
D1070907075,Healthcare
D6112053327,Other
D6570845917,Finance & Investment
D2168505197,Technology
D8955290410,Business & Executive
D3666247872,Other
D7295247039,Healthcare
D3339142836,Retired / Not Employed
D7149150429,Other
D3600354381,Other
D3495721643,Healthcare
D8546414265,Other
D8497327249,Technology
D6844205433,Other
D2016149768,Other
D7940576061,Other
D6471432759,Retired / Not Employed
D2511748223,Other
D7338276432,Other
D5089901826,Other
D1444365798,Healthcare
D8862362020,Business & Executive
D4821838776,Retired / Not Employed
D3334385944,Technology
D5696112658,Retired / Not Employed
D4247159181,Retired / Not Employed
D7120875935,Other
D3102144378,Other
D5637927734,Other
D4756049002,Retired / Not Employed
D4008252060,Other
D7716618271,Retired / Not Employed
D1626616264,Retired / Not Employed
D2552005873,Other
D7299190330,Business & Executive
D4500150492,Retired / Not Employed
